IUCN_Category,Species,Country,Value
Number of vulnerable indigenous species,Mammals,United Kingdom,5
Total number of known species,Mammals,Chile,185
Total number of indigenous known species,Mammals,Chile,162
Number of endangered species,Mammals,Chile,13
Number of vulnerable species,Mammals,Chile,20
Total number of threatened species,Mammals,Chile,36
Number of endangered indigenous species,Mammals,Chile,13
Number of vulnerable indigenous species,Mammals,Chile,20
Total number of known species,Mammals,Estonia,66
Total number of indigenous known species,Mammals,Estonia,60
Number of endangered species,Mammals,Estonia,1
Total number of threatened species,Mammals,Estonia,3
Number of endangered indigenous species,Mammals,Estonia,1
Total number of indigenous known species,Mammals,Israel,105
Number of endangered indigenous species,Mammals,Israel,27
Number of critically endangered indigenous species,Mammals,Israel,15
Number of vulnerable indigenous species,Mammals,Israel,19
Total number of threatened species,Mammals,Russia,34
Total number of known species,Mammals,Slovenia,89
Number of endangered species,Mammals,Slovenia,19
Number of vulnerable species,Mammals,Slovenia,15
Total number of threatened species,Mammals,Slovenia,34
Number of endangered indigenous species,Mammals,Slovenia,19
Number of vulnerable indigenous species,Mammals,Slovenia,15
Total number of known species,Birds,Australia,799
Total number of indigenous known species,Birds,Australia,782
Number of endangered species,Birds,Australia,55
Number of critically endangered species,Birds,Australia,17
Number of vulnerable species,Birds,Australia,63
Total number of threatened species,Birds,Australia,135
Number of endangered indigenous species,Birds,Australia,55
Number of critically endangered indigenous species,Birds,Australia,17
Number of vulnerable indigenous species,Birds,Australia,63
Total number of known species,Birds,Austria,213
Total number of indigenous known species,Birds,Austria,213
Number of endangered species,Birds,Austria,24
Number of critically endangered species,Birds,Austria,14
Number of vulnerable species,Birds,Austria,28
Total number of threatened species,Birds,Austria,66
Number of endangered indigenous species,Birds,Austria,24
Number of critically endangered indigenous species,Birds,Austria,14
Number of vulnerable indigenous species,Birds,Austria,28
Total number of known species,Birds,Belgium,198
Total number of indigenous known species,Birds,Belgium,178
Number of endangered species,Birds,Belgium,15
Number of critically endangered species,Birds,Belgium,20
Number of vulnerable species,Birds,Belgium,20
Total number of threatened species,Birds,Belgium,55
Number of endangered indigenous species,Birds,Belgium,15
Number of critically endangered indigenous species,Birds,Belgium,20
Number of vulnerable indigenous species,Birds,Belgium,20
Total number of known species,Birds,Canada,674
Total number of indigenous known species,Birds,Canada,664
Number of endangered species,Birds,Canada,14
Number of vulnerable species,Birds,Canada,48
Total number of threatened species,Birds,Canada,88
Number of endangered indigenous species,Birds,Canada,14
Number of vulnerable indigenous species,Birds,Canada,48
Total number of known species,Birds,Czech Republic,237
Total number of indigenous known species,Birds,Czech Republic,223
Number of endangered species,Birds,Czech Republic,35
Number of critically endangered species,Birds,Czech Republic,35
Number of vulnerable species,Birds,Czech Republic,45
Total number of threatened species,Birds,Czech Republic,115
Total number of known species,Birds,Denmark,241
Total number of indigenous known species,Birds,Denmark,202
Number of endangered species,Birds,Denmark,15
Number of critically endangered species,Birds,Denmark,24
Number of vulnerable species,Birds,Denmark,45
Total number of threatened species,Birds,Denmark,84
Number of endangered indigenous species,Birds,Denmark,15
Number of critically endangered indigenous species,Birds,Denmark,24
Number of vulnerable indigenous species,Birds,Denmark,45
Total number of known species,Birds,Finland,248
Total number of indigenous known species,Birds,Finland,245
Number of endangered species,Birds,Finland,36
Number of critically endangered species,Birds,Finland,13
Number of vulnerable species,Birds,Finland,38
Total number of threatened species,Birds,Finland,87
Number of endangered indigenous species,Birds,Finland,36
Number of critically endangered indigenous species,Birds,Finland,13
Number of vulnerable indigenous species,Birds,Finland,38
Total number of known species,Birds,France,396
Total number of indigenous known species,Birds,France,284
Number of endangered species,Birds,France,33
Number of critically endangered species,Birds,France,16
Number of vulnerable species,Birds,France,58
Total number of threatened species,Birds,France,107
Number of endangered indigenous species,Birds,France,30
Number of vulnerable indigenous species,Birds,France,46
Total number of known species,Birds,Germany,280
Total number of indigenous known species,Birds,Germany,260
Number of endangered species,Birds,Germany,24
Number of critically endangered species,Birds,Germany,30
Number of vulnerable species,Birds,Germany,40
Total number of threatened species,Birds,Germany,94
Number of endangered indigenous species,Birds,Germany,24
Number of critically endangered indigenous species,Birds,Germany,30
Number of vulnerable indigenous species,Birds,Germany,40
Total number of known species,Birds,Greece,440
Total number of indigenous known species,Birds,Greece,351
Number of endangered species,Birds,Greece,17
Number of critically endangered species,Birds,Greece,14
Number of vulnerable species,Birds,Greece,31
Total number of threatened species,Birds,Greece,62
Number of endangered indigenous species,Birds,Greece,17
Number of critically endangered indigenous species,Birds,Greece,14
Number of vulnerable indigenous species,Birds,Greece,31
Total number of known species,Birds,Hungary,238
Total number of indigenous known species,Birds,Hungary,236
Number of endangered species,Birds,Hungary,20
Number of critically endangered species,Birds,Hungary,23
Number of vulnerable species,Birds,Hungary,35
Total number of threatened species,Birds,Hungary,78
Number of endangered indigenous species,Birds,Hungary,20
Number of critically endangered indigenous species,Birds,Hungary,23
Number of vulnerable indigenous species,Birds,Hungary,35
Total number of known species,Birds,Iceland,75
Number of endangered species,Birds,Iceland,11
Number of critically endangered species,Birds,Iceland,6
Number of vulnerable species,Birds,Iceland,16
Total number of threatened species,Birds,Iceland,33
Total number of known species,Birds,Ireland,478
Total number of indigenous known species,Birds,Ireland,478
Number of endangered species,Birds,Ireland,37
Number of vulnerable species,Birds,Ireland,90
Total number of threatened species,Birds,Ireland,127
Total number of known species,Birds,Italy,278
Number of endangered species,Birds,Italy,36
Number of critically endangered species,Birds,Italy,10
Number of vulnerable species,Birds,Italy,21
Total number of threatened species,Birds,Italy,67
Total number of known species,Birds,Japan,700
Number of endangered species,Birds,Japan,24
Number of critically endangered species,Birds,Japan,31
Number of vulnerable species,Birds,Japan,43
Total number of threatened species,Birds,Japan,98
Total number of known species,Birds,Korea,527
Total number of indigenous known species,Birds,Korea,1
Number of endangered species,Birds,Korea,18
Number of critically endangered species,Birds,Korea,7
Number of vulnerable species,Birds,Korea,29
Total number of threatened species,Birds,Korea,54
Number of endangered indigenous species,Birds,Korea,0
Number of critically endangered indigenous species,Birds,Korea,0
Number of vulnerable indigenous species,Birds,Korea,0
Total number of known species,Birds,Luxembourg,131
Number of endangered species,Birds,Luxembourg,8
Number of critically endangered species,Birds,Luxembourg,7
Number of vulnerable species,Birds,Luxembourg,11
Total number of threatened species,Birds,Luxembourg,26
Total number of known species,Birds,Mexico,1117
Total number of indigenous known species,Birds,Mexico,238
Number of endangered species,Birds,Mexico,96
Number of critically endangered species,Birds,Mexico,18
Number of vulnerable species,Birds,Mexico,127
Total number of threatened species,Birds,Mexico,241
Number of endangered indigenous species,Birds,Mexico,51
Number of critically endangered indigenous species,Birds,Mexico,12
Number of vulnerable indigenous species,Birds,Mexico,34
Total number of known species,Birds,Netherlands,168
Number of endangered species,Birds,Netherlands,10
Number of critically endangered species,Birds,Netherlands,10
Number of vulnerable species,Birds,Netherlands,21
Total number of threatened species,Birds,Netherlands,41
Total number of known species,Birds,New Zealand,254
Total number of indigenous known species,Birds,New Zealand,217
Number of endangered indigenous species,Birds,New Zealand,13
Number of critically endangered indigenous species,Birds,New Zealand,20
Number of vulnerable indigenous species,Birds,New Zealand,32
Total number of known species,Birds,Norway,264
Total number of indigenous known species,Birds,Norway,232
Number of endangered species,Birds,Norway,15
Number of critically endangered species,Birds,Norway,6
Number of vulnerable species,Birds,Norway,25
Total number of threatened species,Birds,Norway,46
Number of endangered indigenous species,Birds,Norway,15
Number of critically endangered indigenous species,Birds,Norway,6
Number of vulnerable indigenous species,Birds,Norway,25
Total number of known species,Birds,Poland,456
Total number of indigenous known species,Birds,Poland,449
Number of endangered species,Birds,Poland,8
Number of critically endangered species,Birds,Poland,16
Number of vulnerable species,Birds,Poland,10
Total number of threatened species,Birds,Poland,34
Number of endangered indigenous species,Birds,Poland,8
Number of critically endangered indigenous species,Birds,Poland,16
Number of vulnerable indigenous species,Birds,Poland,10
Total number of known species,Birds,Portugal,393
Total number of indigenous known species,Birds,Portugal,362
Number of endangered species,Birds,Portugal,30
Number of critically endangered species,Birds,Portugal,20
Number of vulnerable species,Birds,Portugal,61
Total number of threatened species,Birds,Portugal,111
Number of endangered indigenous species,Birds,Portugal,30
Number of critically endangered indigenous species,Birds,Portugal,20
Number of vulnerable indigenous species,Birds,Portugal,61
Total number of known species,Birds,Slovak Republic,211
Number of endangered species,Birds,Slovak Republic,24
Number of critically endangered species,Birds,Slovak Republic,10
Number of vulnerable species,Birds,Slovak Republic,17
Total number of threatened species,Birds,Slovak Republic,51
Number of endangered indigenous species,Birds,Slovak Republic,24
Number of critically endangered indigenous species,Birds,Slovak Republic,10
Number of vulnerable indigenous species,Birds,Slovak Republic,17
Total number of known species,Birds,Spain,641
Number of endangered species,Birds,Spain,21
Number of critically endangered species,Birds,Spain,10
Number of vulnerable species,Birds,Spain,35
Total number of threatened species,Birds,Spain,66
Number of endangered indigenous species,Birds,Spain,21
Number of critically endangered indigenous species,Birds,Spain,10
Number of vulnerable indigenous species,Birds,Spain,35
Total number of known species,Birds,Sweden,257
Total number of indigenous known species,Birds,Sweden,257
Number of endangered species,Birds,Sweden,11
Number of critically endangered species,Birds,Sweden,6
Number of vulnerable species,Birds,Sweden,35
Total number of threatened species,Birds,Sweden,52
Number of endangered indigenous species,Birds,Sweden,11
Number of critically endangered indigenous species,Birds,Sweden,6
Number of vulnerable indigenous species,Birds,Sweden,35
Total number of known species,Birds,Switzerland,205
Total number of indigenous known species,Birds,Switzerland,199
Number of endangered species,Birds,Switzerland,21
Number of critically endangered species,Birds,Switzerland,9
Number of vulnerable species,Birds,Switzerland,41
Total number of threatened species,Birds,Switzerland,71
Number of endangered indigenous species,Birds,Switzerland,21
Number of critically endangered indigenous species,Birds,Switzerland,9
Number of vulnerable indigenous species,Birds,Switzerland,41
Total number of known species,Birds,Turkey,506
Total number of threatened species,Birds,Turkey,17
Total number of known species,Birds,United Kingdom,590
Number of endangered species,Birds,United Kingdom,43
Number of critically endangered species,Birds,United Kingdom,27
Number of vulnerable species,Birds,United Kingdom,52
Total number of threatened species,Birds,United Kingdom,129
Number of endangered indigenous species,Birds,United Kingdom,43
Number of critically endangered indigenous species,Birds,United Kingdom,27
Number of vulnerable indigenous species,Birds,United Kingdom,52
Total number of known species,Birds,Chile,510
Total number of indigenous known species,Birds,Chile,498
Number of endangered species,Birds,Chile,25
Number of vulnerable species,Birds,Chile,19
Total number of threatened species,Birds,Chile,46
Number of endangered indigenous species,Birds,Chile,25
Number of vulnerable indigenous species,Birds,Chile,19
Total number of known species,Birds,Estonia,234
Total number of indigenous known species,Birds,Estonia,217
Number of endangered species,Birds,Estonia,31
Number of critically endangered species,Birds,Estonia,23
Number of vulnerable species,Birds,Estonia,41
Total number of threatened species,Birds,Estonia,95
Number of endangered indigenous species,Birds,Estonia,31
Number of critically endangered indigenous species,Birds,Estonia,23
Number of vulnerable indigenous species,Birds,Estonia,41
Total number of threatened species,Birds,Russia,57
Total number of known species,Birds,Slovenia,380
Total number of indigenous known species,Birds,Slovenia,365
Number of endangered species,Birds,Slovenia,43
Number of critically endangered species,Birds,Slovenia,17
Number of vulnerable species,Birds,Slovenia,45
Total number of threatened species,Birds,Slovenia,105
Number of endangered indigenous species,Birds,Slovenia,43
Number of critically endangered indigenous species,Birds,Slovenia,17
Number of vulnerable indigenous species,Birds,Slovenia,45
Total number of known species,Reptiles,Australia,1080
Total number of indigenous known species,Reptiles,Australia,1075
Number of endangered species,Reptiles,Australia,20
Number of critically endangered species,Reptiles,Australia,10
Number of vulnerable species,Reptiles,Australia,31
Total number of threatened species,Reptiles,Australia,61
Number of endangered indigenous species,Reptiles,Australia,20
Number of critically endangered indigenous species,Reptiles,Australia,10
Number of vulnerable indigenous species,Reptiles,Australia,31
Total number of known species,Reptiles,Austria,14
Total number of indigenous known species,Reptiles,Austria,14
Number of endangered species,Reptiles,Austria,3
Number of critically endangered species,Reptiles,Austria,3
Number of vulnerable species,Reptiles,Austria,3
Total number of threatened species,Reptiles,Austria,9
Number of endangered indigenous species,Reptiles,Austria,3
Number of critically endangered indigenous species,Reptiles,Austria,3
Number of vulnerable indigenous species,Reptiles,Austria,3
Total number of known species,Reptiles,Belgium,10
Total number of indigenous known species,Reptiles,Belgium,7
Number of endangered species,Reptiles,Belgium,2
Number of vulnerable species,Reptiles,Belgium,2
Total number of threatened species,Reptiles,Belgium,4
Number of endangered indigenous species,Reptiles,Belgium,2
Number of vulnerable indigenous species,Reptiles,Belgium,2
Total number of known species,Reptiles,Canada,45
Total number of indigenous known species,Reptiles,Canada,43
Number of endangered species,Reptiles,Canada,6
Number of vulnerable species,Reptiles,Canada,15
Total number of threatened species,Reptiles,Canada,26
Number of endangered indigenous species,Reptiles,Canada,6
Number of vulnerable indigenous species,Reptiles,Canada,15
Total number of known species,Reptiles,Czech Republic,12
Total number of indigenous known species,Reptiles,Czech Republic,12
Number of endangered species,Reptiles,Czech Republic,3
Number of critically endangered species,Reptiles,Czech Republic,1
Number of vulnerable species,Reptiles,Czech Republic,3
Total number of threatened species,Reptiles,Czech Republic,7
Total number of known species,Reptiles,Denmark,8
Total number of indigenous known species,Reptiles,Denmark,8
Number of vulnerable species,Reptiles,Denmark,1
Total number of threatened species,Reptiles,Denmark,1
Number of vulnerable indigenous species,Reptiles,Denmark,1
Total number of known species,Reptiles,Finland,5
Total number of indigenous known species,Reptiles,Finland,5
Number of vulnerable species,Reptiles,Finland,1
Total number of threatened species,Reptiles,Finland,1
Number of vulnerable indigenous species,Reptiles,Finland,1
Total number of known species,Reptiles,France,38
Number of endangered species,Reptiles,France,3
Number of critically endangered species,Reptiles,France,0
Number of vulnerable species,Reptiles,France,6
Total number of threatened species,Reptiles,France,9
Total number of known species,Reptiles,Germany,13
Total number of indigenous known species,Reptiles,Germany,13
Number of endangered species,Reptiles,Germany,3
Number of critically endangered species,Reptiles,Germany,4
Number of vulnerable species,Reptiles,Germany,1
Total number of threatened species,Reptiles,Germany,8
Number of endangered indigenous species,Reptiles,Germany,3
Number of critically endangered indigenous species,Reptiles,Germany,4
Number of vulnerable indigenous species,Reptiles,Germany,1
Total number of known species,Reptiles,Greece,66
Total number of indigenous known species,Reptiles,Greece,64
Number of endangered species,Reptiles,Greece,2
Number of critically endangered species,Reptiles,Greece,1
Number of vulnerable species,Reptiles,Greece,6
Total number of threatened species,Reptiles,Greece,9
Number of endangered indigenous species,Reptiles,Greece,2
Number of critically endangered indigenous species,Reptiles,Greece,1
Number of vulnerable indigenous species,Reptiles,Greece,6
Total number of known species,Reptiles,Hungary,15
Total number of indigenous known species,Reptiles,Hungary,15
Number of endangered species,Reptiles,Hungary,4
Total number of threatened species,Reptiles,Hungary,4
Number of endangered indigenous species,Reptiles,Hungary,4
Total number of known species,Reptiles,Ireland,3
Total number of indigenous known species,Reptiles,Ireland,2
Number of endangered species,Reptiles,Ireland,0
Total number of threatened species,Reptiles,Ireland,0
Number of endangered indigenous species,Reptiles,Ireland,0
Total number of known species,Reptiles,Italy,56
Number of endangered species,Reptiles,Italy,5
Number of critically endangered species,Reptiles,Italy,1
Number of vulnerable species,Reptiles,Italy,5
Total number of threatened species,Reptiles,Italy,11
Total number of known species,Reptiles,Japan,100
Number of endangered species,Reptiles,Japan,5
Number of critically endangered species,Reptiles,Japan,9
Number of vulnerable species,Reptiles,Japan,23
Total number of threatened species,Reptiles,Japan,37
Total number of known species,Reptiles,Korea,32
Total number of indigenous known species,Reptiles,Korea,0
Number of endangered species,Reptiles,Korea,1
Number of critically endangered species,Reptiles,Korea,0
Number of vulnerable species,Reptiles,Korea,4
Total number of threatened species,Reptiles,Korea,5
Number of endangered indigenous species,Reptiles,Korea,0
Number of critically endangered indigenous species,Reptiles,Korea,0
Number of vulnerable indigenous species,Reptiles,Korea,0
Total number of known species,Reptiles,Luxembourg,6
Number of endangered species,Reptiles,Luxembourg,0
Number of critically endangered species,Reptiles,Luxembourg,0
Number of vulnerable species,Reptiles,Luxembourg,2
Total number of threatened species,Reptiles,Luxembourg,2
Total number of known species,Reptiles,Mexico,953
Total number of indigenous known species,Reptiles,Mexico,522
Number of endangered species,Reptiles,Mexico,28
Number of critically endangered species,Reptiles,Mexico,0
Number of vulnerable species,Reptiles,Mexico,142
Total number of threatened species,Reptiles,Mexico,170
Number of endangered indigenous species,Reptiles,Mexico,18
Number of critically endangered indigenous species,Reptiles,Mexico,0
Number of vulnerable indigenous species,Reptiles,Mexico,94
Total number of known species,Reptiles,Netherlands,7
Number of endangered species,Reptiles,Netherlands,0
Number of critically endangered species,Reptiles,Netherlands,1
Number of vulnerable species,Reptiles,Netherlands,4
Total number of threatened species,Reptiles,Netherlands,5
Total number of known species,Reptiles,New Zealand,107
Total number of indigenous known species,Reptiles,New Zealand,106
Number of endangered indigenous species,Reptiles,New Zealand,8
Number of critically endangered indigenous species,Reptiles,New Zealand,8
Number of vulnerable indigenous species,Reptiles,New Zealand,21
Total number of known species,Reptiles,Norway,9
Total number of indigenous known species,Reptiles,Norway,5
Total number of known species,Reptiles,Poland,12
Total number of indigenous known species,Reptiles,Poland,9
Number of endangered species,Reptiles,Poland,1
Number of critically endangered species,Reptiles,Poland,1
Number of vulnerable species,Reptiles,Poland,1
Total number of threatened species,Reptiles,Poland,3
Number of endangered indigenous species,Reptiles,Poland,1
Number of critically endangered indigenous species,Reptiles,Poland,1
Number of vulnerable indigenous species,Reptiles,Poland,1
Total number of known species,Reptiles,Portugal,49
Total number of indigenous known species,Reptiles,Portugal,32
Number of endangered species,Reptiles,Portugal,4
Number of vulnerable species,Reptiles,Portugal,6
Total number of threatened species,Reptiles,Portugal,10
Number of endangered indigenous species,Reptiles,Portugal,4
Number of vulnerable indigenous species,Reptiles,Portugal,6
Total number of known species,Reptiles,Slovak Republic,12
Total number of indigenous known species,Reptiles,Slovak Republic,12
Number of critically endangered species,Reptiles,Slovak Republic,1
Number of vulnerable species,Reptiles,Slovak Republic,4
Total number of threatened species,Reptiles,Slovak Republic,5
Number of critically endangered indigenous species,Reptiles,Slovak Republic,1
Number of vulnerable indigenous species,Reptiles,Slovak Republic,4
Total number of known species,Reptiles,Spain,104
Number of endangered species,Reptiles,Spain,5
Number of critically endangered species,Reptiles,Spain,4
Number of vulnerable species,Reptiles,Spain,10
Total number of threatened species,Reptiles,Spain,19
Number of endangered indigenous species,Reptiles,Spain,5
Number of critically endangered indigenous species,Reptiles,Spain,4
Number of vulnerable indigenous species,Reptiles,Spain,10
Total number of known species,Reptiles,Sweden,6
Total number of indigenous known species,Reptiles,Sweden,6
Number of vulnerable species,Reptiles,Sweden,2
Total number of threatened species,Reptiles,Sweden,2
Number of vulnerable indigenous species,Reptiles,Sweden,2
Total number of known species,Reptiles,Switzerland,19
Total number of indigenous known species,Reptiles,Switzerland,19
Number of endangered species,Reptiles,Switzerland,7
Number of critically endangered species,Reptiles,Switzerland,3
Number of vulnerable species,Reptiles,Switzerland,5
Total number of threatened species,Reptiles,Switzerland,15
